	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
50	806.562738869	823.160383065	835.214674124	866.324640531	883.818567596	916.691142148	926.24111305	938.792024188	973.52696896	992.856394148	957.754825252	947.052620344	966.449863759	975.595887782	984.863048423	949.933077076	940.606358913
51	806.562738869	818.720893516	835.211071192	847.364221057	838.657489266	830.007728446	838.50828289	849.897485159	880.914761533	913.217530807	946.853467882	981.861948313	970.912426176	959.918286317	952.139417712	944.571833982	937.253102534
52	806.562738869	801.625969689	817.559663048	848.365009264	860.454832333	877.241574957	886.161638465	895.174660261	888.688516969	897.446682654	930.331762963	923.705907507	957.869246853	966.662636678	931.966913597	898.528458015	914.694060157
53	806.562738869	823.174455659	794.523631328	824.350825063	855.414592221	849.665884681	844.228893292	855.844632364	888.180166903	896.650298626	886.61740712	898.20910759	887.883012562	920.908758709	910.150393418	903.523892386	936.902782289
54	806.562738869	778.652525342	787.462388039	796.260962411	805.112387365	813.964346906	784.986557488	757.169927676	751.370943287	745.894410265	760.113098822	774.906181446	765.979768261	738.791450125	745.732193748	760.704857867	753.578475136
55	806.562738869	798.886540604	814.950738971	826.684641994	838.46425791	854.893949811	848.551421571	865.135254657	858.684684579	875.380995755	886.840302822	919.256209392	937.07564528	971.322843272	963.517897695	975.298963217	1010.79926241
56	806.562738869	798.973403602	791.219255743	807.189481237	778.795330263	770.945019952	781.455636932	797.189623363	813.621365776	821.740068514	829.989049927	847.733387871	857.793705642	866.203968002	835.222083098	864.920499218	874.378058354
57	806.562738869	823.162055395	840.242684516	849.66966201	841.030940312	872.144662021	904.502925899	913.986208203	925.902063505	935.324998099	901.975123038	869.962756619	880.624831965	870.3734373	839.325424905	829.326733303	819.308273051
58	806.562738869	818.724371021	835.21396839	826.836337856	835.715252231	806.159377174	835.915720293	806.517840078	800.576267659	811.26607088	841.297603764	852.299060883	860.043028535	870.873283821	864.356464946	879.689324591	895.423578635
59	806.562738869	778.64971108	751.690772258	746.885273696	739.203852781	746.905033673	761.558908329	789.95879922	781.506630868	796.991377783	790.92816994	782.131686779	797.517032922	807.237083658	816.988283913	826.854963263	819.937649938
60	806.562738869	801.623840234	810.571614151	822.376291432	831.172515219	847.000874	858.83585455	890.391447883	907.210216189	897.150426418	905.799961167	873.092600502	863.076077197	831.910821712	839.362220374	829.217290392	799.070891034
61	806.562738869	801.625083622	773.71616921	765.932249494	794.762948633	789.730365213	797.819424473	808.782135901	780.32182302	775.226317951	785.588681239	757.79103851	753.037839761	762.841326089	769.460261267	778.983246571	807.396800807
62	806.562738869	815.983365458	827.964452669	822.414639161	852.986741321	822.838073258	814.140119024	844.519757043	852.792675271	822.553030063	793.46800036	788.084071121	802.507811026	793.060197422	787.435789822	759.430594034	768.608786542
63	806.562738869	818.717498525	835.206665543	829.540418546	846.019229834	863.09716624	880.888803864	871.702532425	890.183918925	880.666525756	891.736284469	860.186094311	891.597470624	899.85049646	891.381620819	883.367325044	890.822481801
64	806.562738869	823.176484386	815.133519374	824.148785167	818.140899844	812.416135925	803.857112758	819.531308103	790.47338899	762.522784685	769.925292087	785.23045306	757.522335063	764.699310962	780.499687302	771.380575831	744.050057338
65	806.562738869	823.151077972	817.719526944	829.548782836	860.472433324	830.180728737	801.061290557	812.146423915	783.624031708	798.705994485	793.156799566	765.435191435	794.10903581	804.252206062	811.020823985	817.769254949	807.639560231
